date,benzina,gasolio
2019-11-25,1.5765,1.47024
2019-12-02,1.58078,1.47632
2019-12-09,1.58043,1.47608
2019-12-16,1.57801,1.47437
2020-01-06,1.59014,1.48921
2020-01-13,1.59376,1.49337
2020-01-20,1.58711,1.48857
2020-01-27,1.58713,1.48232
2020-02-03,1.57049,1.46897
2020-02-10,1.55468,1.45067
2020-02-17,1.54714,1.44136
2020-02-24,1.5455,1.43942
2020-03-02,1.54015,1.43216
2020-03-09,1.52231,1.4142
2020-03-16,1.49659,1.38903
2020-03-23,1.47747,1.36848
2020-03-30,1.45654,1.34781
2020-04-06,1.43681,1.32802
2020-04-13,1.42227,1.3156
2020-04-20,1.41126,1.30643
2020-04-27,1.39161,1.28706
2020-05-04,1.37428,1.26715
2020-05-11,1.36201,1.25279
2020-05-18,1.35675,1.24739
2020-05-25,1.36677,1.25637
2020-06-01,1.37148,1.26085
2020-06-08,1.37101,1.2604
2020-06-15,1.37777,1.26649
2020-06-22,1.38538,1.27305
2020-06-29,1.39918,1.28553
2020-07-06,1.40083,1.28779
2020-07-13,1.4038,1.29032
2020-07-20,1.4046,1.29083
2020-07-27,1.40356,1.28974
2020-08-03,1.40166,1.28834
2020-08-10,1.39766,1.28432
2020-08-17,1.39823,1.28455
2020-08-24,1.39968,1.28556
2020-08-31,1.40008,1.28519
2020-09-07,1.39848,1.28164
2020-09-14,1.39204,1.27428
2020-09-21,1.3887,1.26741
2020-09-28,1.38954,1.26494
2020-10-05,1.38824,1.26269
2020-10-12,1.38863,1.261
2020-10-19,1.38914,1.26048
2020-10-26,1.38772,1.25851
2020-11-02,1.38388,1.25477
2020-11-09,1.37834,1.24872
2020-11-16,1.38546,1.2553
2020-11-23,1.39324,1.26411
2020-11-30,1.40362,1.27525
2020-12-07,1.40934,1.28379
2020-12-14,1.41251,1.28831
2020-12-21,1.42758,1.30431
2020-12-28,1.43407,1.31179
2021-01-04,1.4415,1.31904
2021-01-11,1.45007,1.32498
2021-01-18,1.46598,1.33945
2021-01-25,1.47616,1.34645
2021-02-01,1.47999,1.35056
2021-02-08,1.4889,1.36065
2021-02-15,1.50043,1.37294
2021-02-22,1.51855,1.39091
2021-03-01,1.53658,1.40845
2021-03-08,1.54965,1.42119
2021-03-15,1.56615,1.43607
2021-03-22,1.57877,1.44498
2021-03-29,1.57535,1.4403
2021-04-05,1.57422,1.43714
2021-04-12,1.57352,1.43518
2021-04-19,1.57445,1.43566
2021-04-26,1.57701,1.4376
2021-05-03,1.57894,1.43883
2021-05-10,1.58782,1.4472
2021-05-17,1.59307,1.45265
2021-05-24,1.59241,1.45133
2021-05-31,1.59002,1.44799
2021-06-07,1.59904,1.45756
2021-06-14,1.60546,1.46481
